User,Card,transaction_date,transaction_month,transaction_year,amount_usd,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,spend_category,has_error_flag,is_fraud_flag
0,0,2002-09-01,2002-09,2002,134.09,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-09-01,2002-09,2002,38.48,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-09-02,2002-09,2002,120.34,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-09-02,2002-09,2002,128.95,Swipe Transaction,3.41453e+18,Monterey Park,CA,91754.0,5651,Retail,0,0
0,0,2002-09-03,2002-09,2002,104.71,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-03,2002-09,2002,86.19,Swipe Transaction,-7.14667e+18,Monterey Park,CA,91755.0,5970,Retail,0,0
0,0,2002-09-04,2002-09,2002,93.84,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-09-04,2002-09,2002,123.5,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-09-05,2002-09,2002,61.72,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-09-05,2002-09,2002,57.1,Swipe Transaction,4.05526e+18,La Verne,CA,91750.0,7538,Services,0,0
0,0,2002-09-05,2002-09,2002,76.07,Swipe Transaction,-4.50054e+18,La Verne,CA,91750.0,5814,Dining,0,0
0,0,2002-09-05,2002-09,2002,53.91,Online Transaction,-9.09268e+18,ONLINE,,,4900,Utilities,0,0
0,0,2002-09-06,2002-09,2002,110.37,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-09-07,2002-09,2002,117.05,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-09-07,2002-09,2002,45.3,Swipe Transaction,-5.47568e+18,Monterey Park,CA,91755.0,5942,Retail,0,0
0,0,2002-09-07,2002-09,2002,29.34,Swipe Transaction,4.05526e+18,La Verne,CA,91750.0,7538,Services,0,0
0,0,2002-09-08,2002-09,2002,147.45,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-08,2002-09,2002,27.75,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-08,2002-09,2002,76.57,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-09-08,2002-09,2002,22.56,Swipe Transaction,-6.73317e+18,Mira Loma,CA,91752.0,7832,Services,0,0
0,0,2002-09-09,2002-09,2002,37.5,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-09,2002-09,2002,65.5,Swipe Transaction,-3.34594e+18,La Verne,CA,91750.0,7538,Services,1,0
0,0,2002-09-09,2002-09,2002,56.42,Swipe Transaction,3.18952e+18,La Verne,CA,91750.0,5311,Retail,0,0
0,0,2002-09-09,2002-09,2002,2.71,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-09,2002-09,2002,144.9,Online Transaction,-8.33838e+18,ONLINE,,,4899,Telecom/Utilities,0,0
0,0,2002-09-10,2002-09,2002,160.0,Swipe Transaction,-4.28247e+18,Mira Loma,CA,91752.0,4829,Telecom/Utilities,0,0
0,0,2002-09-10,2002-09,2002,102.18,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-09-10,2002-09,2002,36.73,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-10,2002-09,2002,29.33,Swipe Transaction,-6.73317e+18,Mira Loma,CA,91752.0,7832,Services,0,0
0,0,2002-09-11,2002-09,2002,162.39,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-11,2002-09,2002,34.4,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-11,2002-09,2002,62.06,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-09-11,2002-09,2002,-99.0,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-09-11,2002-09,2002,99.0,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-09-11,2002-09,2002,80.18,Swipe Transaction,-1.60579e+18,La Verne,CA,91750.0,5812,Dining,0,0
0,0,2002-09-12,2002-09,2002,122.1,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,1,0
0,0,2002-09-12,2002-09,2002,92.76,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-12,2002-09,2002,52.52,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-12,2002-09,2002,1.13,Swipe Transaction,6.6665e+18,La Verne,CA,91750.0,5499,Retail,0,0
0,0,2002-09-13,2002-09,2002,126.79,Swipe Transaction,1.91348e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-09-13,2002-09,2002,44.41,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-14,2002-09,2002,164.37,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-14,2002-09,2002,12.76,Swipe Transaction,-4.50054e+18,La Verne,CA,91750.0,5814,Dining,0,0
0,0,2002-09-15,2002-09,2002,109.94,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-15,2002-09,2002,126.29,Swipe Transaction,-2.45178e+17,La Verne,CA,91750.0,5311,Retail,0,0
0,0,2002-09-15,2002-09,2002,40.81,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-15,2002-09,2002,81.35,Swipe Transaction,-5.90412e+18,Diamond Bar,CA,91765.0,5719,Retail,0,0
0,0,2002-09-16,2002-09,2002,115.34,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-09-16,2002-09,2002,44.25,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-17,2002-09,2002,120.19,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,1,0
0,0,2002-09-17,2002-09,2002,159.72,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-18,2002-09,2002,128.85,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-09-18,2002-09,2002,92.3,Swipe Transaction,-4.50054e+18,La Verne,CA,91750.0,5814,Dining,0,0
0,0,2002-09-19,2002-09,2002,168.11,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-19,2002-09,2002,53.09,Swipe Transaction,4.05526e+18,La Verne,CA,91750.0,7538,Services,0,0
0,0,2002-09-20,2002-09,2002,104.77,Swipe Transaction,-2.45178e+17,La Verne,CA,91750.0,5311,Retail,1,0
0,0,2002-09-20,2002-09,2002,119.69,Swipe Transaction,-2.45178e+17,La Verne,CA,91750.0,5311,Retail,0,0
0,0,2002-09-21,2002-09,2002,145.5,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-09-21,2002-09,2002,48.34,Swipe Transaction,-5.47568e+18,Monterey Park,CA,91755.0,5942,Retail,0,0
0,0,2002-09-21,2002-09,2002,2.79,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-09-22,2002-09,2002,47.51,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-22,2002-09,2002,51.98,Swipe Transaction,4.05526e+18,La Verne,CA,91750.0,7538,Services,0,0
0,0,2002-09-22,2002-09,2002,82.9,Swipe Transaction,3.95215e+18,La Verne,CA,91750.0,7538,Services,0,0
0,0,2002-09-22,2002-09,2002,76.37,Swipe Transaction,-5.0235e+18,Mira Loma,CA,91752.0,5812,Dining,0,0
0,0,2002-09-23,2002-09,2002,134.89,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-09-23,2002-09,2002,35.28,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-23,2002-09,2002,80.65,Swipe Transaction,-4.50054e+18,La Verne,CA,91750.0,5814,Dining,0,0
0,0,2002-09-24,2002-09,2002,112.67,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-09-25,2002-09,2002,162.26,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-25,2002-09,2002,39.38,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-09-25,2002-09,2002,55.76,Swipe Transaction,-1.28808e+18,La Verne,CA,91750.0,5499,Retail,0,0
0,0,2002-09-25,2002-09,2002,100.0,Swipe Transaction,-1.28808e+18,La Verne,CA,91750.0,5499,Retail,0,0
0,0,2002-09-25,2002-09,2002,-100.0,Swipe Transaction,-1.28808e+18,La Verne,CA,91750.0,5499,Retail,0,0
0,0,2002-09-26,2002-09,2002,93.37,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-09-27,2002-09,2002,199.71,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-09-27,2002-09,2002,23.18,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-27,2002-09,2002,57.64,Swipe Transaction,4.05526e+18,La Verne,CA,91750.0,7538,Services,0,0
0,0,2002-09-28,2002-09,2002,78.46,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-09-28,2002-09,2002,141.7,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-28,2002-09,2002,55.41,Swipe Transaction,4.05526e+18,La Verne,CA,91750.0,7538,Services,0,0
0,0,2002-09-28,2002-09,2002,153.36,Swipe Transaction,7.94533e+18,La Verne,CA,91750.0,4900,Utilities,0,0
0,0,2002-09-29,2002-09,2002,119.61,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,1,0
0,0,2002-09-29,2002-09,2002,120.25,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,1,0
0,0,2002-09-29,2002-09,2002,40.58,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-29,2002-09,2002,165.96,Swipe Transaction,8.38425e+17,Mira Loma,CA,91752.0,4814,Telecom/Utilities,0,0
0,0,2002-09-30,2002-09,2002,127.32,Online Transaction,-7.42109e+18,ONLINE,,,5311,Retail,0,0
0,0,2002-09-30,2002-09,2002,38.13,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-09-30,2002-09,2002,11.3,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-09-30,2002-09,2002,80.05,Swipe Transaction,-4.50054e+18,La Verne,CA,91750.0,5814,Dining,0,0
0,0,2002-10-01,2002-10,2002,119.73,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-10-01,2002-10,2002,30.9,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-10-01,2002-10,2002,34.89,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-10-02,2002-10,2002,139.34,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-10-03,2002-10,2002,46.46,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-10-03,2002-10,2002,102.74,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-10-03,2002-10,2002,36.44,Swipe Transaction,-5.47568e+18,Monterey Park,CA,91755.0,5942,Retail,0,0
0,0,2002-10-04,2002-10,2002,114.87,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-10-05,2002-10,2002,53.13,Swipe Transaction,-3.34594e+18,La Verne,CA,91750.0,7538,Services,0,0
0,0,2002-10-05,2002-10,2002,16.87,Swipe Transaction,9.13777e+18,La Verne,CA,91750.0,7210,Services,0,0
0,0,2002-10-06,2002-10,2002,139.39,Online Transaction,-7.42109e+18,ONLINE,,,5311,Retail,0,0
0,0,2002-10-07,2002-10,2002,133.96,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-10-08,2002-10,2002,100.0,Swipe Transaction,-4.28247e+18,Mira Loma,CA,91752.0,4829,Telecom/Utilities,0,0
0,0,2002-10-08,2002-10,2002,154.7,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-10-08,2002-10,2002,27.22,Swipe Transaction,5.4451e+18,La Verne,CA,91750.0,5193,Other,0,0
0,0,2002-10-09,2002-10,2002,118.25,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-10-09,2002-10,2002,31.01,Swipe Transaction,-5.47568e+18,Monterey Park,CA,91755.0,5942,Retail,0,0
0,0,2002-10-09,2002-10,2002,53.09,Online Transaction,-4.95662e+18,ONLINE,,,5193,Other,0,0
0,0,2002-10-10,2002-10,2002,142.06,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-10-11,2002-10,2002,172.67,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-10-11,2002-10,2002,159.46,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-10-11,2002-10,2002,37.69,Swipe Transaction,-5.47568e+18,Monterey Park,CA,91755.0,5942,Retail,0,0
0,0,2002-10-11,2002-10,2002,87.47,Swipe Transaction,-4.50054e+18,La Verne,CA,91750.0,5814,Dining,0,0
0,0,2002-10-12,2002-10,2002,168.96,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-10-13,2002-10,2002,135.41,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-10-13,2002-10,2002,30.0,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-10-13,2002-10,2002,58.62,Swipe Transaction,-1.28808e+18,La Verne,CA,91750.0,5499,Retail,0,0
0,0,2002-10-13,2002-10,2002,-99.0,Swipe Transaction,-1.28808e+18,La Verne,CA,91750.0,5499,Retail,0,0
0,0,2002-10-13,2002-10,2002,99.0,Swipe Transaction,-1.28808e+18,La Verne,CA,91750.0,5499,Retail,0,0
0,0,2002-10-14,2002-10,2002,100.75,Swipe Transaction,5.81722e+18,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-10-14,2002-10,2002,1049.82,Swipe Transaction,-2.18784e+18,San Diego,CA,92123.0,3058,Travel,0,0
0,0,2002-10-14,2002-10,2002,207.0,Swipe Transaction,7.83406e+18,Tilden,NE,68781.0,3395,Travel,0,0
0,0,2002-10-15,2002-10,2002,99.09,Swipe Transaction,6.04253e+18,Lincoln,NE,68521.0,5912,Retail,0,0
0,0,2002-10-15,2002-10,2002,-88.0,Swipe Transaction,-4.33423e+18,Lincoln,NE,68521.0,5541,Fuel,0,0
0,0,2002-10-15,2002-10,2002,88.0,Swipe Transaction,-4.33423e+18,Lincoln,NE,68521.0,5541,Fuel,0,0
0,0,2002-10-15,2002-10,2002,55.3,Swipe Transaction,-4.33423e+18,Lincoln,NE,68521.0,5541,Fuel,0,0
0,0,2002-10-15,2002-10,2002,93.02,Swipe Transaction,-3.34898e+18,Lincoln,NE,68521.0,5651,Retail,0,0
0,0,2002-10-16,2002-10,2002,142.68,Swipe Transaction,7.83406e+18,Tilden,NE,68781.0,3395,Travel,0,0
0,0,2002-10-16,2002-10,2002,-207.0,Swipe Transaction,7.83406e+18,Tilden,NE,68781.0,3395,Travel,0,0
0,0,2002-10-16,2002-10,2002,3.65,Swipe Transaction,-7.27612e+17,Monterey Park,CA,91754.0,5411,Retail,0,0
0,0,2002-10-16,2002-10,2002,521.24,Swipe Transaction,-8.11651e+17,La Verne,CA,91750.0,6300,Other,0,0
0,0,2002-10-17,2002-10,2002,114.05,Swipe Transaction,3.52721e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-10-18,2002-10,2002,91.1,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-10-18,2002-10,2002,1.84,Swipe Transaction,6.6665e+18,La Verne,CA,91750.0,5499,Retail,0,0
0,0,2002-10-19,2002-10,2002,130.22,Swipe Transaction,4.06065e+18,La Verne,CA,91750.0,5411,Retail,0,0
0,0,2002-10-19,2002-10,2002,24.02,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-10-20,2002-10,2002,41.02,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-10-21,2002-10,2002,43.69,Swipe Transaction,-3.45515e+16,La Verne,CA,91750.0,5912,Retail,0,0
0,0,2002-10-21,2002-10,2002,49.08,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-10-21,2002-10,2002,-57.0,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-10-21,2002-10,2002,57.0,Swipe Transaction,2.02755e+18,Mira Loma,CA,91752.0,5541,Fuel,0,0
0,0,2002-10-22,2002-10,2002,164.49,Swipe Transaction,1.91348e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-10-23,2002-10,2002,201.62,Swipe Transaction,1.91348e+18,La Verne,CA,91750.0,5300,Retail,0,0
0,0,2002-10-23,2002-10,2002,17.82,Swipe Transaction,-3.34594e+18,La Verne,CA,91750.0,7538,Services,0,0
