Card,transaction_month,transaction_count,total_spend_usd,avg_transaction_usd,median_transaction_usd,fraud_count,error_count,avg_ticket_vs_card_avg
0,2002-09,89,7293.44,81.94876404494381,80.65,0,6,1.2527591427009805
0,2002-10,78,6957.09,89.19346153846153,69.675,0,0,1.3635095747164
0,2002-11,78,7257.44,93.04410256410256,96.88,0,0,1.422374718155118
0,2002-12,84,6383.49,75.99392857142857,75.58500000000001,0,1,1.1617269633915401
0,2003-01,50,4173.2300000000005,83.4646,68.00999999999999,0,1,1.2759318820786
0,2003-02,32,1832.57,57.2678125,45.480000000000004,0,0,0.8754589105518911
0,2003-03,51,4043.16,79.27764705882353,57.78,0,2,1.211925503968481
0,2003-04,46,3369.33,73.24630434782608,55.54,0,1,1.1197237506897975
0,2003-05,54,3238.4700000000003,59.97166666666667,51.125,0,1,0.9167930059137699
0,2003-06,43,2838.21,66.00488372093024,45.32,0,2,1.0090234124697854
0,2003-07,19,1089.23,57.327894736842104,43.03,0,1,0.8763773938553927
0,2003-08,30,1918.91,63.96366666666667,48.23,0,0,0.9778191184603797
0,2003-09,15,1047.08,69.80533333333332,56.93,0,0,1.0671212746376788
0,2003-10,23,1476.18,64.18173913043479,46.77,0,1,0.9811528145318301
0,2003-11,19,1143.84,60.20210526315789,50.06,0,1,0.9203157443217248
0,2003-12,23,1171.02,50.91391304347826,39.59,0,3,0.7783261992934897
0,2004-01,22,1215.37,55.24409090909091,57.400000000000006,0,1,0.8445220714812943
0,2004-02,21,1351.66,64.3647619047619,44.15,0,0,0.9839507024137638
0,2004-03,29,1477.22,50.938620689655174,48.36,0,0,0.7787039076092096
0,2004-04,23,1552.04,67.48,54.87,0,1,1.0315736659932946
0,2004-05,32,1598.16,49.9425,42.739999999999995,0,0,0.7634761086821297
0,2004-06,22,1371.93,62.36045454545455,56.28,0,0,0.9533106506885412
0,2004-07,32,1748.34,54.635625,55.489999999999995,0,0,0.8352203908578081
0,2004-08,36,2314.29,64.28583333333333,49.245000000000005,0,1,0.9827441132646798
0,2004-09,27,1927.7,71.3962962962963,65.12,0,1,1.0914424882737677
0,2004-10,22,1533.41,69.70045454545455,60.575,0,0,1.0655179818739409
0,2004-11,24,1686.3700000000001,70.26541666666667,50.19,0,1,1.0741546156398885
0,2004-12,36,2219.07,61.64083333333334,58.31,0,1,0.9423097275718485
0,2005-01,23,1300.22,56.53130434782609,42.03,0,0,0.8641998350543809
0,2005-02,22,1670.42,75.92818181818183,68.325,0,1,1.1607218860460466
0,2005-03,22,1645.77,74.80772727272728,71.645,0,0,1.1435933827408689
0,2005-04,23,1485.93,64.60565217391304,59.0,0,0,0.987633216611309
0,2005-05,26,1252.26,48.16384615384615,43.71,0,1,0.7362856453061665
0,2005-06,13,674.13,51.856153846153845,45.77,0,0,0.7927303308741731
0,2005-07,27,1451.32,53.75259259259259,52.53,0,0,0.8217213840750555
0,2005-08,19,1185.05,62.37105263157895,37.56,0,1,0.9534726647157471
0,2005-09,31,1758.6100000000001,56.72935483870968,49.06,0,0,0.8672274531772701
0,2005-10,22,1727.27,78.51227272727273,45.435,0,0,1.2002251482326332
0,2005-11,25,1642.3700000000001,65.6948,69.2,0,1,1.004283130893543
0,2005-12,19,1341.91,70.62684210526317,43.58,0,1,1.079679763308475
0,2006-01,16,1187.8899999999999,74.24312499999999,62.614999999999995,0,0,1.1349622500155365
0,2006-02,18,1137.63,63.201666666666675,45.51,0,1,0.9661703464762824
0,2006-03,29,1672.08,57.65793103448276,47.14,0,0,0.8814226925137807
0,2006-04,31,1458.78,47.05741935483871,53.9,0,2,0.7193715855965438
0,2006-05,21,1389.75,66.17857142857143,39.94,0,1,1.0116785942319284
0,2006-06,22,1264.54,57.47909090909091,42.025000000000006,0,2,0.8786887452141783
0,2006-07,22,1217.21,55.32772727272727,40.864999999999995,0,0,0.8458006291316605
0,2006-08,23,2145.9900000000002,93.30391304347827,92.56,0,0,1.426346467542686
0,2006-09,15,1167.97,77.86466666666666,61.81,0,0,1.1903251281072793
0,2006-10,33,1888.34,57.22242424242424,50.54,0,0,0.8747650556132356
0,2006-11,36,2489.2,69.14444444444445,70.38499999999999,0,0,1.0570181985569833
0,2006-12,21,1953.9,93.04285714285714,65.66,0,0,1.4223556792730814
0,2007-01,29,1590.91,54.85896551724138,54.0,0,2,0.8386346202018438
0,2007-02,17,1008.98,59.35176470588235,53.28,0,0,0.9073165011976657
0,2007-03,25,1709.42,68.3768,39.18,0,0,1.0452831393730038
0,2007-04,20,1282.48,64.124,57.235,0,1,0.9802701505357737
0,2007-05,29,2222.6,76.64137931034483,63.55,0,2,1.1716246090983262
0,2007-06,19,1021.38,53.75684210526316,41.4,0,2,0.8217863468101513
0,2007-07,26,1396.43,53.70884615384615,39.685,0,1,0.8210526277888698
0,2007-08,18,1428.3,79.35,54.11,0,1,1.2130315707849424
0,2007-09,32,1378.87,43.0896875,49.650000000000006,0,2,0.6587164626686489
0,2007-10,20,1324.37,66.21849999999999,49.475,0,0,1.0122889863897
0,2007-11,22,1409.79,64.08136363636363,65.93,0,0,0.9796183640814022
0,2007-12,23,1288.93,56.0404347826087,41.18,0,1,0.856695861774656
0,2008-01,29,1901.96,65.5848275862069,66.0,0,0,1.0026019713491643
0,2008-02,22,1639.62,74.5281818181818,72.285,0,0,1.1393199427681773
0,2008-03,22,1680.21,76.37318181818182,45.74,0,1,1.1675246465879408
0,2008-04,31,925.33,29.84935483870968,40.18,0,1,0.4563101422421818
0,2008-05,21,1504.92,71.66285714285715,52.35,0,0,1.0955174312153364
0,2008-06,26,1489.34,57.28230769230769,54.245000000000005,0,0,0.8756805000401561
0,2008-07,14,709.8000000000001,50.7,68.23,0,0,0.7750560887056911
0,2008-08,26,1958.42,75.32384615384616,66.135,0,3,1.1514833448968287
0,2008-09,20,1164.83,58.241499999999995,48.42,0,0,0.8903437710128698
0,2008-10,31,1744.59,56.277096774193545,51.04,0,1,0.8603137378603177
0,2008-11,21,1625.37,77.39857142857143,54.53,0,1,1.1831998825017085
0,2008-12,26,1628.99,62.65346153846154,61.28,0,1,0.9577898785773659
0,2009-01,23,2734.49,118.89086956521739,58.1,0,1,1.817496890493804
0,2009-02,18,1027.76,57.09777777777778,50.86,0,0,0.8728595723516995
0,2009-03,25,2158.34,86.3336,90.1,0,1,1.3197905786958906
0,2009-04,22,1104.76,50.21636363636364,44.519999999999996,0,0,0.7676626901187907
0,2009-05,15,1011.62,67.44133333333333,44.32,0,0,1.0309825647027628
0,2009-06,27,2018.3,74.75185185185185,47.41,0,0,1.142739209463581
0,2009-07,24,1434.1,59.75416666666666,50.685,0,0,0.9134680611545294
0,2009-08,25,1614.94,64.5976,50.02,0,0,0.9875101222046301
0,2009-09,35,2513.45,71.81285714285714,61.02,0,2,1.0978104965665365
0,2009-10,13,796.31,61.25461538461538,38.53,0,0,0.9364055742637365
0,2009-11,23,1456.9,63.34347826086957,44.97,0,2,0.96833823483005
0,2009-12,28,1620.94,57.89071428571429,61.435,0,2,0.8849812738987058
0,2010-01,26,1971.1,75.81153846153846,51.485,0,1,1.1589387471156027
0,2010-02,19,1489.33,78.38578947368421,93.29,0,0,1.1982915857905603
0,2010-03,17,1381.32,81.25411764705882,52.61,0,0,1.2421400121254729
0,2010-04,30,1789.77,59.659,43.585,0,1,0.9120132385817123
0,2010-05,22,1232.4099999999999,56.018636363636354,49.269999999999996,0,0,0.8563626271129464
0,2010-06,26,1434.07,55.15653846153846,48.56,0,0,0.8431836482553257
0,2010-07,18,993.51,55.195,35.905,0,2,0.8437716137299924
0,2010-08,25,1523.12,60.9248,41.19,0,0,0.9313636527253744
0,2010-09,34,2253.52,66.28,45.04,0,0,1.0132291431836924
0,2010-10,31,2285.16,73.71483870967741,69.1,0,0,1.1268862834298508
0,2010-11,21,994.5699999999999,47.360476190476184,33.9,0,0,0.7240044464581751
0,2010-12,19,1537.46,80.91894736842106,68.7,0,1,1.2370162297741636
0,2011-01,32,1608.49,50.2653125,41.485,0,0,0.7684109764066919
0,2011-02,28,1941.22,69.32928571428572,55.59,0,0,1.0598438859659494
0,2011-03,38,2190.81,57.65289473684211,59.875,0,0,0.8813457021163267
0,2011-04,25,1413.92,56.5568,41.91,0,0,0.8645895896984226
0,2011-05,25,1392.6599999999999,55.706399999999995,47.4,0,0,0.8515894378673511
0,2011-06,22,2374.9900000000002,107.95409090909092,48.81,0,0,1.6503052358930692
0,2011-07,23,1318.44,57.32347826086957,45.88,0,1,0.8763098787352126
0,2011-08,31,2553.5299999999997,82.37193548387096,74.16,0,0,1.25922820779579
0,2011-09,19,1175.95,61.892105263157895,45.85,0,0,0.9461509472785813
0,2011-10,23,1862.77,80.99,58.06,0,1,1.238102418624732
0,2011-11,26,1519.3799999999999,58.4376923076923,49.765,0,0,0.8933429828991448
0,2011-12,19,1412.78,74.35684210526315,107.9,0,0,1.1367006550416547
0,2012-01,22,1579.13,71.77863636363637,43.315,0,0,1.0972873600123882
0,2012-02,21,1651.5,78.64285714285714,74.0,0,0,1.2022214055578553
0,2012-03,31,1821.75,58.766129032258064,50.0,0,2,0.8983638287202345
0,2012-04,25,1735.95,69.438,62.77,0,2,1.0615058123776286
0,2012-05,27,1515.1,56.114814814814814,45.26,0,1,0.8578329169391427
0,2012-06,34,1757.79,51.69970588235294,50.47,0,0,0.790338694840455
0,2012-07,35,2230.77,63.736285714285714,55.85,0,2,0.9743431225708619
0,2012-08,25,1924.94,76.9976,57.21,0,0,1.1770701912371857
0,2012-09,23,1552.8799999999999,67.51652173913043,53.58,0,1,1.0321319775570648
0,2012-10,37,1925.68,52.045405405405404,44.43,0,0,0.7956234388287089
0,2012-11,21,1222.27,58.20333333333333,61.69,0,0,0.8897603132735089
0,2012-12,28,1964.99,70.17821428571429,65.635,0,0,1.0728215439178612
0,2013-01,13,819.58,63.04461538461539,63.71,0,0,0.9637694874547266
0,2013-02,23,1682.44,73.14956521739131,63.9,0,0,1.1182448897024293
0,2013-03,19,1106.48,58.235789473684214,45.58,0,0,0.8902564736126576
0,2013-04,23,2075.65,90.24565217391304,68.28,0,2,1.3795945206431417
0,2013-05,25,1814.13,72.5652,75.42,0,2,1.109311638819452
0,2013-06,30,2099.31,69.977,61.775,0,2,1.0697455605396082
0,2013-07,28,2099.95,74.99821428571428,75.99000000000001,0,2,1.1465053772030964
0,2013-08,24,1557.23,64.88458333333334,59.230000000000004,0,0,0.9918972657915544
0,2013-09,17,1263.9099999999999,74.34764705882353,68.38,0,0,1.1365600894256989
0,2013-10,29,2237.4,77.15172413793104,65.93,0,0,1.1794263027070075
0,2013-11,26,1698.35,65.32115384615385,59.69,0,1,0.9985711639002506
0,2013-12,17,1264.12,74.36,70.03,0,1,1.1367489301016802
0,2014-01,19,709.3,37.33157894736842,32.17,0,1,0.570691667932053
0,2014-02,25,1626.15,65.046,54.0,0,1,0.9943648588944849
0,2014-03,23,1633.64,71.02782608695652,64.78,0,1,1.0858096464738574
0,2014-04,17,1509.73,88.80764705882353,120.64,0,1,1.357611589281405
0,2014-05,26,2029.31,78.05038461538462,77.91,0,1,1.1931642173959534
0,2014-06,13,967.46,74.42,57.65,0,0,1.1376661562421602
0,2014-07,14,929.66,66.4042857142857,53.44500000000001,0,0,1.0151291116175438
0,2014-08,20,1143.65,57.182500000000005,41.724999999999994,0,0,0.874154729633396
0,2014-09,16,1393.8400000000001,87.11500000000001,74.075,0,0,1.3317359204654098
0,2014-10,17,1031.4,60.670588235294126,64.82,0,0,0.9274774914619444
0,2014-11,22,1448.78,65.85363636363637,54.765,0,1,1.0067112786399777
0,2014-12,15,944.81,62.98733333333333,46.52,0,0,0.9628938108744561
0,2015-01,25,1880.32,75.2128,53.37,0,1,1.1497857709783708
0,2015-02,17,662.75,38.98529411764706,32.13,0,0,0.5959721809835209
0,2015-03,23,1242.55,54.02391304347826,45.87,0,0,0.8258690875750418
0,2015-04,18,1286.6299999999999,71.47944444444444,69.49,0,0,1.0927135825240009
0,2015-05,15,1002.31,66.82066666666667,54.2,0,0,1.0214943698495742
0,2015-06,27,1354.7,50.17407407407408,41.93,0,1,0.7670162052521
0,2015-07,17,742.64,43.684705882352944,44.75,0,0,0.6678125695746542
0,2015-08,18,1103.04,61.28,54.86,0,2,0.9367936314770167
0,2015-09,13,730.6,56.2,36.34,0,0,0.8591351515830342
0,2015-10,22,1228.95,55.86136363636364,47.565,0,1,0.8539583828356276
0,2015-11,27,1828.57,67.7248148148148,44.57,13,1,1.0353161751220434
0,2015-12,19,1114.95,58.68157894736842,51.4,0,1,0.897071302919558
0,2016-01,18,1101.17,61.17611111111111,55.489999999999995,0,1,0.9352054714004446
0,2016-02,16,1181.32,73.8325,74.72999999999999,0,0,1.1286849836166257
0,2016-03,13,506.65999999999997,38.973846153846154,39.18,0,1,0.5957971747892966
0,2016-04,9,639.4300000000001,71.04777777777778,69.71,0,0,1.0861146500133245
0,2016-05,20,1073.31,53.665499999999994,44.66,0,0,0.8203899906989203
0,2016-06,19,1140.13,60.00684210526316,64.6,0,2,0.9173307364434958
0,2016-07,12,875.5699999999999,72.96416666666666,67.625,0,0,1.1154106830835664
0,2016-08,23,1566.1200000000001,68.09217391304348,67.55,0,0,1.0409320312526857
0,2016-09,19,1472.7,77.51052631578948,78.0,0,0,1.1849113483202234
0,2016-10,17,1306.37,76.84529411764706,53.99,0,2,1.174741875626469
0,2016-11,18,1032.32,57.35111111111111,49.815,0,1,0.8767323049448378
0,2016-12,18,1437.05,79.83611111111111,102.495,0,2,1.220462801089758
0,2017-01,15,797.66,53.17733333333333,40.28,0,0,0.8129273369059585
0,2017-02,16,1007.54,62.97125,52.91,0,1,0.9626479433117997
0,2017-03,13,600.07,46.159230769230774,42.14,0,0,0.7056408847665363
0,2017-04,19,958.5899999999999,50.45210526315789,44.14,0,1,0.7712664964937074
0,2017-05,12,787.68,65.64,43.334999999999994,0,0,1.0034453976852378
0,2017-06,20,1296.98,64.849,36.099999999999994,0,1,0.9913532997332418
0,2017-07,21,1120.41,53.35285714285715,44.77,0,1,0.8156105873454901
0,2017-08,10,550.79,55.07899999999999,42.834999999999994,0,0,0.8419983098583974
0,2017-09,13,814.35,62.642307692307696,57.97,0,0,0.9576193685897125
0,2017-10,22,1105.3,50.24090909090909,41.39,0,0,0.7680379189944417
0,2017-11,19,1509.44,79.44421052631579,79.25,0,0,1.214471776742363
0,2017-12,22,974.5500000000001,44.29772727272728,48.185,0,0,0.6771838903067342
0,2018-01,19,1368.9,72.04736842105264,72.55,0,0,1.1013954944765083
0,2018-02,21,2370.73,112.89190476190477,56.69,0,1,1.7257901016034967
0,2018-03,19,1137.2,59.852631578947374,50.73,0,0,0.9149733043455952
0,2018-04,14,1176.95,84.06785714285715,72.285,0,0,1.2851539357595987
0,2018-05,18,890.68,49.48222222222222,38.6,0,1,0.7564397951877984
0,2018-06,20,1135.06,56.753,61.55,0,0,0.8675889191777926
0,2018-07,21,1102.83,52.51571428571428,39.43,0,0,0.8028130988140294
0,2018-08,18,1013.03,56.279444444444444,42.405,0,1,0.8603496269357069
0,2018-09,22,1504.46,68.38454545454546,50.405,0,0,1.0454015449293204
0,2018-10,19,1358.19,71.48368421052632,65.16,0,1,1.092778396261998
0,2018-11,27,1177.78,43.62148148148148,39.68,0,0,0.6668460516880625
0,2018-12,18,1401.9099999999999,77.88388888888888,46.075,0,0,1.1906189801856182
